,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
28,72021,27090,28679,29919,30547,31297,32058,32569,33407,34087,34574,35257,35743,36656,37732,38413,39707,40592,40597,41134,41712,42208,43067,43878,44850,46002,46912,48183,48622,49660,50263,51665,52472,53979,54487,55784,56200,56895,57545,58869,60095,61180,61544,62570,63200,64628,65333,66158,67066,68356,69522,70012,71213,72717,74022,74388,75241,75945,76675,76848
29,72061,27224,28834,30090,30704,31446,32199,32696,33541,34229,34711,35392,35880,36804,37892,38564,39868,40746,40746,41270,41840,42343,43212,44017,44986,46147,47051,48337,48771,49821,50403,51828,52632,54153,54636,55925,56345,57061,57700,59014,60253,61347,61689,62723,63346,64795,65485,66303,67210,68515,69685,70151,71361,72874,74179,74527,75373,76074,76776,76933
30,72071,27281,28922,30182,30794,31532,32277,32778,33619,34307,34792,35467,35966,36893,37977,38660,39957,40822,40839,41348,41913,42426,43297,44104,45075,46232,47143,48443,48862,49907,50497,51915,52733,54239,54736,55998,56427,57151,57800,59105,60345,61428,61780,62806,63442,64882,65575,66391,67302,68608,69770,70243,71456,72968,74257,74614,75451,76155,76828,76974
31,84499,27412,29077,30352,30950,31681,32419,32905,33754,34449,34928,35601,36104,37042,38137,38812,40118,40988,41011,41483,42042,42560,43442,44241,45212,46376,47282,48603,49012,50069,50637,52078,52893,54417,54884,56139,56573,57317,57955,59249,60504,61593,61924,62960,63589,65048,65727,66538,67447,68766,69935,70381,71606,73123,74411,74751,75583,76280,76925,77061
32,84489,27586,29252,30550,31130,31851,32581,33050,33910,34613,35084,35756,36262,37212,38324,38984,40303,41175,41207,41639,42190,42713,43611,44398,45366,46542,47438,48803,49182,50257,50794,52268,53074,54631,55049,56308,56741,57512,58127,59413,60685,61787,62087,63140,63753,65242,65902,66706,67610,68947,70124,70536,71775,73300,74592,74907,75733,76422,77037,77176
33,84461,27695,29383,30690,31265,31980,32700,33164,34028,34735,35203,35872,36385,37343,38460,39120,40440,41299,41350,41757,42301,42834,43739,44521,45489,46669,47563,48927,49315,50392,50921,52408,53216,54770,55181,56426,56868,57652,58265,59542,60822,61923,62216,63271,63886,65383,66036,66836,67740,69085,70258,70661,71909,73435,74721,75029,75851,76534,77119,77241
34,84471,27805,29515,30831,31400,32109,32818,33280,34145,34855,35323,35987,36510,37474,38596,39255,40576,41423,41490,41873,42414,42956,43865,44645,45612,46797,47687,49043,49449,50525,51049,52538,53358,54911,55313,56544,56995,57793,58401,59672,60960,62057,62345,63402,64019,65513,66167,66967,67871,69223,70391,70788,72043,73563,74848,75152,75966,76644,77200,77310
35,84621,27940,29648,30973,31534,32237,32939,33395,34263,34976,35442,36104,36633,37605,38730,39391,40712,41559,41630,41990,42526,43076,43991,44769,45735,46922,47812,49177,49582,50659,51178,52669,53500,55051,55444,56664,57123,57933,58539,59802,61087,62214,62474,63533,64151,65655,66299,67095,68001,69352,70524,70915,72176,73691,74981,75274,76080,76753,77280,77377
36,84611,28049,29781,31102,31668,32365,33057,33509,34380,35096,35560,36219,36756,37735,38866,39527,40836,41686,41767,42107,42639,43196,44115,44891,45859,47036,47938,49305,49715,50793,51307,52799,53642,55179,55575,56771,57250,58072,58676,59921,61214,62345,62603,63664,64284,65784,66430,67223,68132,69480,70654,71042,72300,73819,75100,75395,76193,76859,77359,77447
37,84631,28100,29868,31174,31755,32449,33131,33592,34460,35170,35641,36295,36843,37813,38939,39625,40913,41757,41850,42186,42715,43281,44199,44979,45935,47110,48031,49357,49809,50858,51405,52879,53745,55239,55672,56832,57337,58159,58776,60002,61297,62404,62696,63733,64383,65860,66520,67311,68227,69564,70709,71136,72388,73905,75158,75481,76273,76934,77405,77480
38,84601,28152,29955,31247,31843,32533,33204,33674,34523,35244,35721,36369,36930,37891,39010,39722,40995,41827,41932,42262,42788,43365,44269,45063,46012,47184,48122,49422,49901,50927,51502,52958,53847,55310,55767,56893,57422,58245,58874,60084,61378,62468,62787,63799,64481,65934,66606,67399,68306,69648,70775,71230,72476,73990,75219,75566,76350,77006,77450,77513
39,75341,28255,30087,31374,31973,32657,33320,33787,34625,35362,35835,36483,37052,38007,39130,39856,41119,41958,42066,42376,42899,43483,44379,45167,46121,47299,48231,49536,50032,51044,51628,53088,53987,55435,55894,57001,57549,58380,59006,60201,61505,62585,62913,63914,64612,66061,66736,67525,68422,69775,70883,71354,72601,74116,75330,75683,76447,77106,77526,77578
40,75061,28366,30218,31515,32103,32781,33435,33899,34726,35464,35950,36580,37173,38125,39250,39988,41243,42087,42199,42488,43011,43602,44488,45273,46230,47413,48342,49661,50163,51160,51754,53217,54112,55567,56020,57108,57676,58500,59138,60320,61632,62706,63039,64029,64742,66196,66865,67635,68539,69903,71015,71477,72724,74243,75453,75801,76543,77189,77600,77644
41,76289,28546,30418,31725,32302,32949,33598,34056,34886,35631,36120,36739,37332,38301,39446,40164,41439,42298,42414,42658,43179,43756,44659,45431,46390,47587,48500,49855,50353,51353,51927,53423,54297,55774,56197,57286,57867,58700,59326,60495,61826,62907,63220,64215,64909,66405,67058,67803,68707,70098,71215,71649,72903,74432,75643,75970,76693,77318,77721,77757
42,76129,28654,30530,31831,32392,33036,33676,34137,34975,35713,36199,36820,37421,38401,39545,40266,41560,42422,42521,42754,43254,43842,44749,45521,46485,47703,48600,50029,50467,51457,52025,53529,54407,55897,56308,57378,57957,58800,59425,60596,61943,63012,63330,64338,65011,66543,67148,67897,68808,70204,71309,71760,73009,74539,75746,76070,76774,77387,77780,77812
43,76119,28747,30640,31937,32483,33127,33757,34217,35060,35797,36279,36902,37511,38500,39651,40367,41660,42537,42628,42851,43332,43929,44840,45611,46581,47804,48697,50171,50561,51559,52123,53638,54515,56004,56400,57477,58049,58898,59522,60699,62048,63120,63439,64432,65112,66652,67240,67989,68909,70311,71405,71851,73117,74645,75841,76150,76855,77455,77832,77863
44,76051,28800,30728,32010,32552,33193,33817,34282,35127,35859,36341,36965,37583,38580,39725,40449,41736,42607,42703,42929,43393,43998,44911,45682,46660,47877,48780,50240,50636,51630,52205,53716,54603,56075,56475,57543,58118,58972,59601,60782,62130,63187,63511,64503,65197,66727,67310,68060,68991,70396,71476,71927,73205,74730,75897,76213,76917,77507,77870,77901
45,75009,28953,30906,32195,32713,33342,33962,34409,35271,36009,36478,37110,37726,38739,39899,40605,41908,42788,42887,43060,43528,44137,45062,45824,46803,48032,48925,50407,50789,51801,52348,53899,54770,56265,56616,57701,58273,59149,59754,60938,62303,63359,63654,64669,65348,66909,67466,68213,69144,70568,71651,72065,73366,74897,76060,76346,77050,77620,77965,77998
