,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,headway_mean54009,headway_mean54339,headway_mean54329,headway_mean54319,headway_mean54101,headway_mean66091,headway_mean66031,headway_mean66041,headway_mean66051,headway_mean66379,headway_mean66359,headway_mean62141,headway_mean62059,headway_mean62049,headway_mean62039,headway_mean62029,headway_mean62019,headway_mean70309,headway_mean70299,headway_mean70289,headway_mean70279,headway_mean70269,headway_mean71161,headway_mean71151,headway_mean71141,headway_mean71121,headway_mean71131,headway_mean71091,headway_mean72021,headway_mean72061,headway_mean72071,headway_mean84499,headway_mean84489,headway_mean84461,headway_mean84471,headway_mean84621,headway_mean84611,headway_mean84631,headway_mean84601,headway_mean75341,headway_mean75061,headway_mean76289,headway_mean76129,headway_mean76119,headway_mean76051,headway_mean75009,headway_var54009,headway_var54339,headway_var54329,headway_var54319,headway_var54101,headway_var66091,headway_var66031,headway_var66041,headway_var66051,headway_var66379,headway_var66359,headway_var62141,headway_var62059,headway_var62049,headway_var62039,headway_var62029,headway_var62019,headway_var70309,headway_var70299,headway_var70289,headway_var70279,headway_var70269,headway_var71161,headway_var71151,headway_var71141,headway_var71121,headway_var71131,headway_var71091,headway_var72021,headway_var72061,headway_var72071,headway_var84499,headway_var84489,headway_var84461,headway_var84471,headway_var84621,headway_var84611,headway_var84631,headway_var84601,headway_var75341,headway_var75061,headway_var76289,headway_var76129,headway_var76119,headway_var76051,headway_var75009
0,62,0.0,0.0,-0.39390728,-0.35148434631595704,-0.042422906,36.16658278291684,-0.21065825,497.78319487947704,1610.4829088928232,1026.2620182486721,6.846699970611541,874.551724137931,874.7931034482758,874.2068965517242,873.7241379310345,872.7758620689655,871.3793103448276,870.5862068965517,869.8793103448276,869.2413793103449,868.448275862069,867.8793103448276,867.3620689655172,866.7241379310345,866.0344827586207,865.6724137931035,865.0172413793103,864.6551724137931,864.1896551724138,863.8793103448276,863.3448275862069,862.5689655172414,862.1034482758621,861.5689655172414,861.0344827586207,860.5862068965517,860.1551724137931,859.6896551724138,858.7241379310345,857.8965517241379,857.051724137931,856.7758620689655,856.0172413793103,855.0,854.2413793103449,853.5344827586207,852.3620689655172,851.6896551724138,851.3793103448276,851.051724137931,850.3965517241379,849.6206896551724,848.4655172413793,847.551724137931,846.8275862068965,846.5689655172414,845.6034482758621,91471.86801426871,98594.61236623068,100102.57788347205,99980.02734839478,103825.86355529133,112146.13198573129,116049.1391200951,119657.14060642091,118204.04518430438,120023.24732461355,117876.62336504161,125461.57580261593,124633.54458977407,124526.61950059453,118823.668549346,119265.63763376931,114634.50178359095,113466.80885850178,109845.9337098692,109531.67419738407,114240.76248513674,113994.05826397146,113717.48662306779,114654.10225921523,115092.00118906064,115561.5104042806,115846.14506539833,123598.88941736026,126855.26516052318,132882.2559453032,131175.1739001189,137670.4652199762,147281.9655172414,149531.97621878714,150702.6281212842,153454.57580261593,153478.21403091558,144974.06302021406,138927.39387633768,138739.58412604043,140399.78715814505,149876.86950059453,155813.0404280618,160841.1771700357,159906.7624851367,171589.75653983353
0,22,0.0,0.0,-0.45654714,-0.4147455995375245,-0.041801523,35.543481430062144,-0.20719504,521.2209348781462,1611.2153415900918,1038.834864828872,9.062551657493376,874.551724137931,874.948275862069,874.448275862069,874.2068965517242,873.6724137931035,872.948275862069,872.448275862069,871.9827586206897,871.6896551724138,871.1896551724138,870.7586206896551,870.1724137931035,869.7931034482758,869.1896551724138,868.9310344827586,868.551724137931,868.3448275862069,868.051724137931,867.8448275862069,867.4827586206897,866.9655172413793,866.6551724137931,866.3620689655172,866.0344827586207,865.6896551724138,865.3448275862069,865.0344827586207,864.5862068965517,864.2586206896551,863.6724137931035,863.5172413793103,863.0,862.2931034482758,862.0172413793103,862.051724137931,862.0344827586207,862.1206896551724,862.2068965517242,862.2068965517242,862.3448275862069,862.3620689655172,862.6379310344828,862.3965517241379,862.3448275862069,862.2758620689655,862.6896551724138,91471.86801426871,102521.11801426872,105827.28180737217,107662.33650416172,114763.56510107014,124809.56629013081,129156.04042806182,133334.2583234245,132459.903686088,133815.60196195004,131154.94173602853,141361.3840665874,142072.88822829965,144692.5329964328,141172.58145065396,143859.17835909632,141357.39833531508,142048.11801426872,140067.88971462546,142039.93935790725,150039.58501783593,152476.98454221163,154779.29994054695,157418.27467300833,159640.6967895363,162303.225921522,164898.89536266346,177596.0356718193,183332.4675980975,194476.56510107013,195614.21521997626,205654.62068965516,219483.82788347205,224182.0859096314,228452.32491082046,236578.10225921523,240477.41646848992,237098.853745541,235152.26753864443,239921.01902497027,245287.54131985732,260557.71373365042,269847.0668846612,282672.8466111772,283931.8894173603,299106.5588585018
0,50,0.0,0.0,-0.37560615,-0.3326940629047662,-0.042912085,36.68099884118942,-0.21293117,494.066776360894,1583.0548471136706,1012.7999451528864,6.350141103182375,874.551724137931,875.0862068965517,875.0172413793103,874.7068965517242,874.7068965517242,874.7931034482758,874.7586206896551,874.7241379310345,874.7758620689655,874.2241379310345,874.1724137931035,874.051724137931,874.0172413793103,873.7931034482758,873.7758620689655,873.5689655172414,873.5,873.448275862069,873.3793103448276,873.1379310344828,872.9827586206897,872.8965517241379,872.8103448275862,872.7586206896551,872.6551724137931,872.6034482758621,872.551724137931,872.3620689655172,872.3103448275862,872.1034482758621,872.0862068965517,871.948275862069,871.7241379310345,871.5689655172414,871.4310344827586,871.1206896551724,870.8793103448276,870.8620689655172,870.7758620689655,870.6206896551724,870.4310344827586,870.2413793103449,869.8448275862069,869.9137931034483,870.051724137931,870.1379310344828,91471.86801426871,102219.66498216409,104312.70659928658,103664.93133174792,108816.93133174792,114932.57788347207,117227.66587395956,118910.44114149823,115911.6566587396,114349.72562425685,109911.79785969087,111463.15249702735,109106.15487514864,107571.02615933413,102241.55321046374,102441.07282996432,98380.18103448275,97215.93697978598,94008.58026159334,93613.42925089179,97854.74108204516,97500.50653983354,96906.49851367419,96976.63139120095,96863.43281807372,96641.7220570749,96141.90249702735,103560.12752675387,105910.69678953626,111801.02378121285,110598.18222354341,115481.84215219975,122545.44114149822,123827.76248513674,123743.48662306776,125192.7268133175,124448.38198573126,117362.98097502973,111033.13941736029,109924.37336504161,110568.6935196195,117961.01070154578,117937.85523186681,119710.97532699167,117452.7387039239,125500.49821640905
0,46,0.0,0.0,-0.42689937,-0.38456026678767097,-0.0423391,36.21905960084413,-0.21008146,529.1484574969688,1585.3105213525528,1040.903273609053,8.67311716936856,874.551724137931,876.3793103448276,877.0,877.2413793103449,878.2068965517242,879.3965517241379,880.0344827586207,880.6551724137931,881.2586206896551,881.8275862068965,882.2068965517242,882.6379310344828,883.0689655172414,883.5344827586207,883.8103448275862,884.2241379310345,884.5,884.7931034482758,885.0862068965517,885.3448275862069,885.9655172413793,886.3275862068965,886.6551724137931,886.9827586206897,887.3275862068965,887.6206896551724,887.9827586206897,888.7758620689655,889.0862068965517,889.5,889.7413793103449,890.3793103448276,890.8275862068965,891.2586206896551,891.7068965517242,892.1206896551724,892.4655172413793,892.7413793103449,892.9137931034483,893.3793103448276,893.6896551724138,894.6724137931035,894.948275862069,895.3275862068965,895.6551724137931,896.551724137931,91471.86801426871,103829.20095124852,106959.44827586207,108823.83828775267,115320.75029726516,127155.34274673006,132411.72294887042,137470.12247324616,137170.91587395957,139997.28061831155,137902.40546967898,143105.88614744353,142895.37455410225,143702.8695005945,138534.18816884662,140427.03596908442,136761.62931034484,136835.88822829965,133971.0098097503,135309.22592152198,143434.44708680143,144616.25475624256,145936.50178359097,147294.67211652797,148744.53061831152,150258.47681331748,151904.2583234245,164299.13941736027,169226.63049940547,177621.0775862069,177608.2262187872,186722.09750297267,202127.0392390012,206050.5710463734,209599.17271105832,215960.3819857313,218140.0763971463,211322.81242568375,205861.0787752675,207880.20095124858,212801.3174791914,229179.15130796673,235107.80766944116,244518.97889417358,244319.91557669442,261518.661117717
0,23,0.0,0.0,-0.44911605,-0.40759966634097994,-0.041516397,35.467730723502626,-0.20572786,525.7335473515249,1642.7813001605136,1021.898608881755,8.232019689785261,874.551724137931,875.8448275862069,876.3793103448276,876.8275862068965,877.3448275862069,878.7068965517242,879.448275862069,880.1206896551724,880.5862068965517,880.448275862069,880.9310344827586,881.2241379310345,881.7758620689655,882.2413793103449,882.4655172413793,883.0,883.2586206896551,883.5862068965517,883.8275862068965,884.0862068965517,884.7931034482758,885.2068965517242,885.5862068965517,885.9655172413793,886.4137931034483,886.8448275862069,887.2931034482758,888.1034482758621,888.5344827586207,889.2413793103449,889.5689655172414,890.2586206896551,890.9827586206897,891.5172413793103,892.0344827586207,892.5689655172414,893.1551724137931,893.3965517241379,893.7241379310345,894.3103448275862,894.8965517241379,896.051724137931,896.0344827586207,896.3620689655172,896.7586206896551,897.8275862068965,91471.86801426871,96381.61385255647,95686.54577883471,95138.45303210465,99630.70868014269,107089.17271105826,111536.73008323424,116294.79577883471,115798.03567181926,119704.83353151011,118866.85731272296,125414.89803804996,127714.62217598099,131164.18311533888,127992.80053507732,132398.6896551724,130108.84690844234,131628.03567181926,130171.0737217598,132141.1822235434,142163.40546967895,145119.8192627824,147823.07015457787,150464.75743162903,153278.7253269917,156375.85523186682,159503.48305588585,175232.88585017837,182191.52467300833,193858.49346016644,195062.52110582642,207872.88139120096,226160.87901307966,230594.69797859687,234491.24019024966,241441.17627824016,244190.51040428062,236268.4117122473,230205.23424494648,232754.5243757432,237205.4375743163,253301.66973840664,262173.7229488704,268739.9895957194,268964.5969084423,287437.7633769322
0,39,0.0,0.0,-0.58193934,-0.5401724982345018,-0.04176685,35.604450940207336,-0.2070483,541.4170110651913,1609.5748566857753,1049.546727103053,9.018718149869436,874.551724137931,875.2931034482758,875.2931034482758,875.4655172413793,875.5172413793103,875.7758620689655,875.8448275862069,876.0344827586207,876.0689655172414,876.1206896551724,876.1551724137931,876.2413793103449,876.2586206896551,876.3103448275862,876.3448275862069,876.5172413793103,876.5689655172414,876.5344827586207,876.6034482758621,876.5172413793103,876.8103448275862,877.0,877.1896551724138,877.2931034482758,877.5,877.7758620689655,878.4310344827586,879.4310344827586,880.0862068965517,881.0172413793103,881.448275862069,882.2413793103449,882.9655172413793,883.5344827586207,884.1724137931035,884.551724137931,885.0344827586207,885.3448275862069,885.6724137931035,886.2758620689655,886.8103448275862,887.8793103448276,887.8275862068965,888.2241379310345,888.4827586206897,889.4310344827586,91471.86801426871,102476.2416765755,106686.20719381688,109051.1453626635,117541.52556480383,131768.51872770512,139981.82074910818,147712.6884661118,149892.65041617124,154943.6233650416,156226.30350772888,167010.76932223543,170361.7434601665,175312.45541022593,171594.32936979787,177031.24970273484,174098.4866230678,175644.28329369798,173471.10136741976,176147.73246135554,186902.91230677764,188873.6896551724,190939.3605826397,193053.13822829962,194687.66379310345,196886.9670035672,197822.0728299643,212540.3831747919,218440.3546373365,229349.98246135557,228834.7645659929,239378.45897740783,258617.03329369798,261972.17984542213,264048.24613555294,270876.9714625446,272550.13674197387,262708.6741973841,254679.5995838288,257306.23424494648,261490.46403091558,280339.41646848986,289831.65992865636,297101.346313912,294466.31866825203,311413.59007134364
0,47,0.0,0.0,-0.5732273,-0.5313681144231486,-0.041859105,35.61189341316701,-0.20740026,538.4126984126984,1596.7029862792574,1045.5948345439872,8.943771318830747,874.551724137931,876.0172413793103,876.551724137931,876.8965517241379,877.448275862069,878.6034482758621,879.2586206896551,879.8275862068965,880.1034482758621,880.3793103448276,880.7586206896551,881.1896551724138,881.6896551724138,881.9827586206897,882.1896551724138,882.6551724137931,882.8620689655172,883.2068965517242,883.4137931034483,883.6896551724138,884.3103448275862,884.6896551724138,884.7586206896551,885.0,885.2586206896551,885.4655172413793,885.8103448275862,886.6034482758621,886.8448275862069,887.4655172413793,887.6551724137931,887.9827586206897,888.5344827586207,888.8793103448276,889.3103448275862,889.6551724137931,889.9827586206897,890.1724137931035,890.3793103448276,890.8620689655172,891.1379310344828,891.8965517241379,891.8620689655172,892.1034482758621,892.3103448275862,893.1551724137931,91471.86801426871,103031.05142687277,110537.90249702735,114896.6099881094,127473.76456599285,147649.61860879906,157850.95035671818,167307.5909631391,169511.0237812129,176629.68370986916,176931.4934601665,187192.8433412604,188785.7657550535,192534.49970273484,185825.36058263973,191292.32936979787,185287.39476813318,184847.9227110583,179525.93222354335,180826.80023781213,189726.5588585018,190200.69678953625,190607.7003567182,192357.0344827586,193615.39863258024,194518.93846611178,196086.2571343639,212783.99791914388,219077.88971462546,229727.11087990485,230106.46730083233,241392.70659928658,260311.66260404282,264529.7612960761,268622.90368608804,277055.2604042806,283012.74108204513,273996.31510107015,267354.3733650416,270896.15338882286,277026.8775267538,297369.36860879906,305907.15338882286,318632.5410225921,317201.42092746735,336440.1655766944
0,40,0.0,0.0,-0.5652346,-0.5235762639250692,-0.04165832,35.43841569495711,-0.20586637,530.3991568067455,1617.9030327757378,1034.5702434380526,9.30176096421116,874.551724137931,875.6551724137931,875.5344827586207,875.5862068965517,875.6379310344828,875.9827586206897,876.0689655172414,876.2758620689655,876.3965517241379,876.5,876.4827586206897,876.6379310344828,876.8275862068965,876.8103448275862,876.7758620689655,876.8620689655172,876.9310344827586,877.0172413793103,877.0862068965517,876.8793103448276,877.0344827586207,877.3275862068965,877.4827586206897,877.6551724137931,877.9310344827586,878.2758620689655,878.8620689655172,879.6896551724138,880.2586206896551,881.0689655172414,881.448275862069,882.0689655172414,882.7068965517242,883.1896551724138,883.6551724137931,884.1206896551724,884.7241379310345,885.0,885.2068965517242,885.7068965517242,886.0689655172414,887.0689655172414,887.1724137931035,887.4827586206897,887.7413793103449,888.5862068965517,91471.86801426871,101121.01902497027,104787.90398335316,106329.27705112963,113533.1620095125,125560.46521997622,133125.20214030915,140908.4411414982,142276.44619500593,148907.2844827586,149131.7324613555,155409.98959571938,158719.31510107013,162922.2571343638,159637.1394173603,165045.46373365042,163004.6848989298,165626.53418549345,164524.07877526755,167328.41646848992,179798.3436385256,183513.4961355529,186682.69797859687,189892.67419738407,193016.78834720573,195843.9239001189,198793.8430439952,215902.11058263967,223283.6744946492,236206.96076099883,235629.28180737223,248404.85731272298,269764.7934007135,274602.87782401906,279254.2604042806,288183.313020214,292068.6825208086,282248.7586206897,275484.577883472,278845.1382282997,285742.40903686086,305893.96076099883,312472.65992865636,321318.83590963145,318592.1227705113,337128.4149821641
0,17,0.0,0.0,-0.36333796,-0.32105088690679034,-0.042287055,36.10969308165829,-0.20989399,512.7128082736674,1584.8517634579687,1028.3365155131264,8.550545095145125,874.551724137931,875.1206896551724,874.8620689655172,874.6551724137931,874.1896551724138,873.7413793103449,873.4137931034483,873.0,872.8965517241379,872.3965517241379,871.9827586206897,871.8620689655172,871.5172413793103,870.9655172413793,870.8793103448276,870.6379310344828,870.5344827586207,870.4827586206897,870.4137931034483,870.3448275862069,871.051724137931,871.2413793103449,871.6034482758621,872.1206896551724,872.551724137931,872.9827586206897,873.3620689655172,873.948275862069,874.3275862068965,874.948275862069,875.0344827586207,875.6551724137931,876.2586206896551,876.6034482758621,877.1034482758621,877.448275862069,877.948275862069,878.1206896551724,878.2586206896551,878.7068965517242,879.0689655172414,879.8275862068965,879.9655172413793,880.1896551724138,880.551724137931,881.2758620689655,91471.86801426871,104039.65784780025,105494.11890606422,106911.43281807372,113725.15368608799,119194.53656361473,121611.10463733648,123709.10344827586,123179.1272294887,126458.27378121285,124876.67211652795,133567.08442330558,132661.146254459,132575.34363852558,128430.1061236623,129530.88614744354,125808.3177764566,124537.80142687277,121244.79429250892,120978.50178359094,123489.08353151011,122830.7348394768,121879.34274673008,122560.27853745542,121791.07491082046,121531.63763376931,122063.95511296077,129146.35939357909,131475.49613555294,136310.77318668252,135458.30915576694,140661.26040428062,148714.15725326992,150911.48067776457,153476.78240190248,156241.83353151008,157825.2559453032,154405.20957193815,151591.22621878714,153272.10374554104,155573.02972651608,164226.86682520807,169412.44708680143,178287.91230677764,178664.41973840666,188366.09631391204
